Week,Topic Title,CFR Cite,Bullet 1,Bullet 2,Bullet 3,Crew Sign-In
37,Asbestos in Construction—Class I–IV Work Rules,1926.1101,Identify asbestos materials.,Provide training for workers.,Use proper removal methods.,
38,Hexavalent Chromium—Welding on Stainless/Coatings,1926.1126,Assess tasks with Cr(VI) exposure.,Provide respiratory protection.,Implement engineering controls.,
39,"Respiratory Protection—Medical Eval, Fit-Testing",1910.134,Conduct medical evaluations.,Fit-test annually.,Use only NIOSH-approved respirators.,
40,Occupational Noise—Exposure & Hearing Protection,"1926.52, .101",Monitor noise exposure.,Provide hearing protectors.,Conduct audiometric testing.,
41,PPE—Employer Duty to Assess & Provide,1926.95,Assess hazards before work.,Provide PPE at no cost.,Train workers in use.,
42,Head Protection (Hard Hats) Classes & Use,1926.100,Wear hard hats where overhead hazards exist.,Inspect for cracks/damage.,Replace after impact.,
43,Eye/Face Protection—Impact & Shade for Cutting/Welding,1926.102,Wear safety glasses with side shields.,Provide shade lenses for welding.,Use face shields for grinding.,
44,Foot/Electrical/Metatarsal Protection,1926.96,Wear safety-toe footwear.,Use dielectric boots near electrical.,Inspect footwear regularly.,
45,Hand Protection Selection (Cuts/Chemicals/Heat),1910.138,Match gloves to hazard.,Replace when worn or damaged.,Train workers on proper glove use.,
46,"First Aid/CPR, Eyewash, & Treatment Access",1926.50,Ensure first aid supplies on site.,Have trained first aiders.,Provide eyewash where needed.,
47,"Sanitation—Toilets, Potable Water, Washing",1926.51,Provide adequate toilets per worker count.,Potable water must be available.,Handwashing facilities where needed.,
48,Bloodborne Pathogens for Designated First Aiders,1910.1030,Provide exposure control plan.,Offer Hepatitis B vaccination.,Train on BBP precautions.,
49,Signs/Tags: Post at Points of Hazard; MUTCD Conformance,1926.200,Use danger/caution/warning signs.,Follow MUTCD standards.,Keep signs visible and legible.,
50,Flaggers & High-Vis Garments—MUTCD Part 6,1926.201,Flaggers must be trained.,Wear high-visibility apparel.,Use STOP/SLOW paddles.,
51,Recordable vs First Aid—General Recording Criteria,1904.7,Know difference between recordable & first aid.,Document days away & restrictions.,Use OSHA 300 log.,
52,"Report to OSHA (8/24-hr rule), Work-Relatedness & Forms","1904.39, .5, .29",Report fatalities within 8 hrs.,"Report hospitalization, amputation, eye loss in 24 hrs.",Maintain 300 & 301 forms.,
